ScenarioCode,OldStaffMemberCode,NewStaffMemberCode
,50045786,50045786
,50045794,50045794
,50045798,50045798
,50045804,50045804
,50045810,50045810
,50045818,50045818
,50045840,50045840
,50045850,50045850
,50045852,50045852
,50045854,50045854
,50045872,50045872
,50045874,50045874
,50045878,50045878
,50045880,50045880
,50045882,50045882
,50045890,50045890
,50045892,50045892
,50045898,50045898
,50045900,50045900
,50045904,50045904
,50045908,50045908
,50045910,50045910
,50045916,50045916
,50045918,50045918
,50045920,50045920
,50045938,50045938
,50045940,50045940
,50045950,50045950
,50045956,50045956
,50045978,50045978
,50045982,50045982
,50045986,50045986
,50045988,50045988
,50045990,50045990
,50045994,50045994
,50045998,50045998
,50046022,50046022
,50046024,50046024
,50046030,50046030
,50046044,50046044
,50046054,50046054
,50046056,50046056
,50046060,50046060
,50046062,50046062
,50046072,50046072
,50046076,50046076
,50046078,50046078
,50046086,50046086
,50046090,50046090
,50046100,50046100
,50046102,50046102
,50046104,50046104
,50046110,50046110
,50046124,50046124
,50046128,50046128
,50046152,50046152
,50046285,50046285
,50046294,50046294
,50046295,50046295
,50046345,50046345
,50046349,50046349
,50046363,50046363
,50046366,50046366
,50046417,50046417
,50046424,50046424
,50046425,50046425
,50046620,50046620
,50046828,50046828
,50047048,50047048
,50047200,50047200
,50047203,50047203
,50047213,50047213
,50048569,50048569
,50050068,50050068
,50050092,50050092
,50051332,50051332
,50051336,50051336
,50051342,50051342
,50051348,50051348
,50051350,50051350
,50051352,50051352
,50051358,50051358
,50051362,50051362
,50051388,50051388
,50051412,50051412
,50051416,50051416
,50051418,50051418
,50051428,50051428
,50051430,50051430
,50051436,50051436
,50051440,50051440
,50051446,50051446
,50051448,50051448
,50051450,50051450
,50051462,50051462
,50051468,50051468
,50051484,50051484
,50051486,50051486
,50051498,50051498
,50051502,50051502
,50051504,50051504
,50051508,50051508
,50051514,50051514
,50051526,50051526
,50051528,50051528
,50051540,50051540
,50051542,50051542
,50051546,50051546
,50051548,50051548
,50051558,50051558
,50051562,50051562
,50051566,50051566
,50051580,50051580
,50051586,50051586
,50051590,50051590
,50051598,50051598
,50051606,50051606
,50051608,50051608
,50051628,50051628
,50053726,50053726
,50053754,50053754
,50053967,50053967
,50054021,50054021
,50054023,50054023
,50054025,50054025
,50054531,50054531
,50054542,50054542
,50054560,50054560
,50054649,50054649
,50054763,50054763
,50054827,50054827
,50054895,50054895
,50055093,50055093
,50055095,50055095
,50055098,50055098
,50055099,50055099
,50055100,50055100
,50055103,50055103
,50055104,50055104
,50055106,50055106
,50055184,50055184
,50055187,50055187
,50055188,50055188
,50055189,50055189
,50055191,50055191
,50055193,50055193
,50057272,50057272
,50057273,50057273
,50057278,50057278
,50057279,50057279
,50057282,50057282
,50057327,50057327
,50057332,50057332
,50057334,50057334
,50057335,50057335
,50057342,50057342
,50057345,50057345
,50057373,50057373
,50057448,50057448
,50057453,50057453
,50057456,50057456
,50057630,50057630
,50058449,50058449
,50058463,50058463
,50058465,50058465
,50058473,50058473
,50058505,50058505
,50058523,50058523
,50058579,50058579
,50058609,50058609
,50058613,50058613
,50058625,50058625
,50059597,50059597
,50059599,50059599
,50059749,50059749
,50060380,50060380
,50060555,50060555
,50063848,50063848
,50063849,50063849
,50063906,50063906
,50063993,50063993
,50063996,50063996
,50064477,50064477
,50064801,50064801
,50064970,50064970
,50065468,50065468
,50065470,50065470
,50065773,50065773
,50065974,50065974
,50066015,50066015
,50066040,50066040
,50066466,50066466
,50066624,50066624
,50067097,50067097
,50067355,50067355
,50067360,50067360
,50067541,50067541
,50067542,50067542
,50067548,50067548
,50067628,50067628
,50067686,50067686
,50067687,50067687
,50067718,50067718
,50067737,50067737
,50068010,50068010
,50068017,50068017
,50068083,50068083
,50068085,50068085
,50068086,50068086
,50068087,50068087
,50068190,50068190
,50068315,50068315
,50068410,50068410
,50068452,50068452
,50068559,50068559
,50068570,50068570
,50068573,50068573
,50068574,50068574
,50068634,50068634
,50068730,50068730
,50068763,50068763
,50068764,50068764
,50068774,50068774
,50068780,50068780
,50068781,50068781
,50069348,50069348
,50069643,50069643
,50069915,50069915
,50069919,50069919
,50069923,50069923
,50069931,50069931
,50069939,50069939
,50069951,50069951
,50069953,50069953
,50070171,50070171
,50070194,50070194
,50070269,50070269
,50070427,50070427
,50070573,50070573
,50070802,50070802
,50071864,50071864
,50071865,50071865
,50071889,50071889
,50071907,50071907
,50072904,50072904
,50072914,50072914
,50080414,50080414
,50080968,50080968
,50080996,50080996
,50081022,50081022
,50081052,50081052
,50081578,50081578
,50081580,50081580
,50081582,50081582
,50081594,50081594
,50081596,50081596
,50081602,50081602
,50081734,50081734
,50081808,50081808
,50081812,50081812
,50081813,50081813
,50081814,50081814
,50081816,50081816
,50081904,50081904
,50081906,50081906
,50081992,50081992
,50082038,50082038
,50082043,50082043
,50082130,50082130
,50082165,50082165
,50083273,50083273
,50083326,50083326
,50083406,50083406
,50083428,50083428
,50084093,50084093
,50084095,50084095
,50084105,50084105
,50084107,50084107
,50084111,50084111
,50084121,50084121
,50084125,50084125
,50084129,50084129
,50084137,50084137
