ScenarioCode,OldStaffMemberCode,NewStaffMemberCode
,60000035,60000035
,60000036,60000036
,60000037,60000037
,61000015,61000015
,61000016,61000016
,61000018,61000018
,61000020,61000020
,61000022,61000022
,61000023,61000023
,61000024,61000024
,61000025,61000025
,62000008,62000008
,62000009,62000009
,62000010,62000010
,62000011,62000011
,62000012,62000012
,62000013,62000013
,62000014,62000014
,62000016,62000016
,6200015,6200015
,63000003,63000003
,63000004,63000004
,63000005,63000005
,63000006,63000006
,64000003,64000003
,64000004,64000004
,64000005,64000005
,64000006,64000006
,64000007,64000007
,64000008,64000008
,65000001,65000001
,65000003,65000003
,65000004,65000004
,65000005,65000005
,65000007,65000007
,65000008,65000008
,65000009,65000009
,65000010,65000010
,65000011,65000011
,65000012,65000012
,65000013,65000013
,65000014,65000014
,65000015,65000015
,65000016,65000016
,65000017,65000017
,65000018,65000018
,65000019,65000019
,65000020,65000020
,65000021,65000021
,66000062,66000062
,66000063,66000063
,66000064,66000064
,66000065,66000065
,66000066,66000066
,66000067,66000067
,66000068,66000068
,66000069,66000069
,66000071,66000071
,66000072,66000072
,66000073,66000073
,66000074,66000074
,66000075,66000075
,66000076,66000076
,66000077,66000077
,66000078,66000078
,66000079,66000079
,66000080,66000080
,66000081,66000081
,66000082,66000082
,66000083,66000083
,66000084,66000084
,66000085,66000085
,66000086,66000086
,66000087,66000087
,66000088,66000088
,66000089,66000089
,66000090,66000090
,66000091,66000091
,66000092,66000092
,66000093,66000093
,66000094,66000094
,66000095,66000095
,67000013,67000013
,67000033,67000033
,67000034,67000034
,67000035,67000035
,67000036,67000036
,67000037,67000037
,67000038,67000038
,67000039,67000039
,67000040,67000040
,67000041,67000041
,67000042,67000042
,67000043,67000043
,67000044,67000044
,67000046,67000046
,67000048,67000048
,67000050,67000050
,67000051,67000051
,67000052,67000052
,67000053,67000053
,67000054,67000054
,67000055,67000055
,67000056,67000056
,67000057,67000057
,67000058,67000058
,67000059,67000059
,67000061,67000061
,67000062,67000062
,67000063,67000063
,67000064,67000064
,67000065,67000065
,67000066,67000066
,67000068,67000068
,67000069,67000069
,67000070,67000070
,67000071,67000071
,67000072,67000072
,67000073,67000073
,67000074,67000074
,67000075,67000075
,67000076,67000076
,67000077,67000077
,67000078,67000078
,67000079,67000079
,67000080,67000080
,67000081,67000081
,67000082,67000082
,67000083,67000083
,67000084,67000084
,67000085,67000085
,67000086,67000086
,67000087,67000087
,67000088,67000088
,67000089,67000089
,67000092,67000092
,68000005,68000005
,68000006,68000006
,68000007,68000007
,68000009,68000009
,68000015,68000015
,68000016,68000016
,68000018,68000018
,68000019,68000019
,68000021,68000021
,68000024,68000024
,68000027,68000027
,68000029,68000029
,68000031,68000031
,68000033,68000033
,68000034,68000034
,68000036,68000036
,68000037,68000037
,68000039,68000039
,68000040,68000040
,68000041,68000041
,68000043,68000043
,68000046,68000046
,68000047,68000047
,68000048,68000048
,68000049,68000049
,68000050,68000050
,68000054,68000054
,68000055,68000055
,68000056,68000056
,68000057,68000057
,68000058,68000058
,68000059,68000059
,68000060,68000060
,68000061,68000061
,68000062,68000062
,68000063,68000063
,68000064,68000064
,68000065,68000065
,68000066,68000066
,68000067,68000067
,68000068,68000068
,68000069,68000069
,68000070,68000070
,69000067,69000067
,69000068,69000068
,69000069,69000069
,69000070,69000070
,69000071,69000071
,69000072,69000072
,69000073,69000073
,69000074,69000074
,69000075,69000075
,70000071,70000071
,70000073,70000073
,70000074,70000074
,70000075,70000075
,70000076,70000076
,70000077,70000077
,70000078,70000078
,70000080,70000080
,70000081,70000081
,70000082,70000082
,70000083,70000083
,70000084,70000084
,70000085,70000085
,70000086,70000086
,70000087,70000087
,70000088,70000088
,70000089,70000089
,70000090,70000090
,70000091,70000091
,70000092,70000092
,70000093,70000093
,70000094,70000094
,70000095,70000095
,70000096,70000096
,70000097,70000097
,71000002,71000002
,77000001,77000001
,88888888,88888888
,STA00001,STA00001
,STA00002,STA00002
,STA00003,STA00003
,STA00004,STA00004
,STA00005,STA00005
,STA00006,STA00006
,STA00007,STA00007
,STA00008,STA00008
,STA00009,STA00009
,STA00010,STA00010
,STA00011,STA00011
,STA00012,STA00012
,STA00013,STA00013
,STA00014,STA00014
,STA00015,STA00015
,STA30835,STA30835
,STA30836,STA30836
,STA30838,STA30838
