FinanceCode,Title,GroupingCode,CustomGrouping,AvailableToAllSchools,SchoolCodes,FinanceCodeTypeCode,LedgerCode,FinanceCodeEnabled
525750,IN: Other Income: Investment income,525750,A4,True,,BUDGET,COSTCTR,True
530100,IN: Trading Income: Hire of facilities,530100,A4,True,,BUDGET,COSTCTR,True
530200,IN: Trading Income: Catering inc (visitors & staff),530200,A4,True,,BUDGET,COSTCTR,True
530250,IN: Trading Income: Rental Income,530250,A4,True,,BUDGET,COSTCTR,True
530300,IN: Trading Income: Supply teacher insurance claim,530300,A4,True,,BUDGET,COSTCTR,True
530350,IN: Trading Income: RPA claims,530350,A4,True,,BUDGET,COSTCTR,True
530400,IN: Trading Income: Sale of uniforms,530400,A4,True,,BUDGET,COSTCTR,True
530500,IN: Trading Income: Income from clubs,530500,A4,True,,BUDGET,COSTCTR,True
530550,IN: Trading Income: Parental income from nursery provision,530550,A4,False,"MIL,ALE,APP",BUDGET,COSTCTR,True
530580,IN: Trading Income: Parental income from wraparound provision,530580,A4,True,,BUDGET,COSTCTR,True
530600,IN: Trading Income: Income from music,530600,A4,True,,BUDGET,COSTCTR,True
530650,IN: Trading Income: Sale of goods or services,530650,A4,True,,BUDGET,COSTCTR,True
530700,IN: Trading Income: Other trading income,530700,A4,True,,BUDGET,COSTCTR,True
530990,IN: Trading Income: Trust contribution from academy,530990,A4,True,,BUDGET,COSTCTR,True
550100,IN: DfE Capital Grants: Condition Improvement Fund,550100,W0,True,,BUDGET,CAPITAL,True
550150,IN: DfE Capital Grants: MAT Condition Allowance,550150,W0,True,,BUDGET,CAPITAL,True
550200,IN: DfE Capital Grants: Priority School Building Prog,550200,W0,True,,BUDGET,CAPITAL,True
550250,IN: DfE Capital Grants: Devolved Formula Capital,550250,W0,True,,BUDGET,CAPITAL,True
550300,IN: DfE Capital Grants: DfE Managed Free Schools,550300,W0,True,,BUDGET,CAPITAL,True
550350,IN: DfE Capital Grants: Building Schools for the Future,550350,W0,True,,BUDGET,CAPITAL,True
550400,IN: DfE Capital Grants: School Sponsorship Development,550400,W0,True,,BUDGET,CAPITAL,True
550450,IN: DfE Capital Grants: Other DfE capital grants,550450,W0,True,,BUDGET,CAPITAL,True
550500,IN: DfE Capital Grants: Teaching School capital grants,550500,W0,True,,BUDGET,CAPITAL,True
555100,IN: DfE Group capital grants: Standards & Testing Agency,555100,W0,True,,BUDGET,CAPITAL,True
555200,IN: DfE Group capital grants: Office of Childrens Commissioner,555200,W0,True,,BUDGET,CAPITAL,True
555250,IN: DfE Group capital grants: Student Loans Company,555250,W0,True,,BUDGET,CAPITAL,True
555300,IN: DfE Group capital grants: Office for Students,555300,W0,True,,BUDGET,CAPITAL,True
555350,IN: DfE Group capital grants: Engineering Contraction ITB,555350,W0,True,,BUDGET,CAPITAL,True
555400,IN: DfE Group capital grants: Construction ITB,555400,W0,True,,BUDGET,CAPITAL,True
560100,IN: Other capital income: Local authority capital grants,560100,W0,True,,BUDGET,CAPITAL,True
560200,IN: Other capital income: Government grant - not DfE,560200,W0,True,,BUDGET,CAPITAL,True
560300,IN: Other capital income: Non-govt capital grants,560300,W0,True,,BUDGET,CAPITAL,True
560400,IN: Other capital income: Contributions from revenue,560400,W0,True,,BUDGET,CAPITAL,True
570100,IN: Boarding Income: Fee Income,570100,A4,True,,BUDGET,COSTCTR,True
570200,IN: Boarding Income: DfE grants,570200,A1,True,,BUDGET,COSTCTR,True
570220,IN: Boarding Income: Standards & Testing Agency,570220,A4,True,,BUDGET,COSTCTR,True
570240,IN: Boarding Income: Office of Childrens Commissioner,570240,A4,True,,BUDGET,COSTCTR,True
570250,IN: Boarding Income: Other government grants,570250,A2,True,,BUDGET,COSTCTR,True
570300,IN: Boarding Income: Other boarding income,570300,A4,True,,BUDGET,COSTCTR,True
580100,IN: Donations: Donated FA - DfE,580100,A1,True,,BUDGET,COSTCTR,True
580120,IN: Donations: Donated FA - LA,580120,A2,True,,BUDGET,COSTCTR,True
580150,IN: Donations: Donated FA - other,580150,A4,True,,BUDGET,COSTCTR,True
580200,IN: Donations: Donated intangible assets,580200,A4,True,,BUDGET,COSTCTR,True
580250,IN: Donations: Other capital donations,580250,W0,True,,BUDGET,CAPITAL,True
580300,IN: Donations: Revenue donations - general,580300,A4,True,,BUDGET,COSTCTR,True
580350,IN: Donations: Revenue donations - charity,580350,A4,True,,BUDGET,COSTCTR,True
580400,IN: Donations: Revenue donations - gift aid,580400,A4,True,,BUDGET,COSTCTR,True
590100,IN: Academy conversions: Local authority capital,590100,W0,True,,BUDGET,CAPITAL,True
590200,IN: Academy conversions: Local authority revenue -surplus,590200,A4,True,,BUDGET,COSTCTR,True
590210,IN: Academy conversions: Local authority revenue -deficit,590210,A4,True,,BUDGET,COSTCTR,True
590300,IN: Academy conversions: Other body capital,590300,W0,True,,BUDGET,CAPITAL,True
590350,IN: Academy conversions: Other body revenue,590350,A4,True,,BUDGET,COSTCTR,True
595100,IN: Academy transfer in: Capital transferred in,595100,W0,True,,BUDGET,CAPITAL,True
595200,IN: Academy transfer in: Revenue transferred in,595200,A4,True,,BUDGET,COSTCTR,True
599100,IN: Academy transfer out: Capital transferred out,599100,W0,True,,BUDGET,CAPITAL,True
599200,IN: Academy transfer out: Revenue transferred out,599200,A4,True,,BUDGET,COSTCTR,True
610100,SF: Leadership - Teaching: Wages and salaries,610100,B0,True,,BUDGET,SALARY,True
610150,SF: Leadership - Teaching: Overtime,610150,B0,True,,BUDGET,SALARY,True
610200,SF: Leadership - Teaching: Employers national insurance,610200,B0,True,,BUDGET,SALARY,True
610300,SF: Leadership - Teaching: Employers pension contribution,610300,B0,True,,BUDGET,SALARY,True
611100,SF: Leadership - Non-teaching: Wages and salaries,611100,B3,True,,BUDGET,SALARY,True
611150,SF: Leadership - Non-teaching: Overtime,611150,B3,True,,BUDGET,SALARY,True
611200,SF: Leadership - Non-teaching: Employers national insurance,611200,B3,True,,BUDGET,SALARY,True
611300,SF: Leadership - Non-teaching: Employers pension contribution,611300,B3,True,,BUDGET,SALARY,True
612100,SF: Teachers: Wages and salaries,612100,B0,True,,BUDGET,SALARY,True
612150,SF: Teachers: Overtime,612150,B0,True,,BUDGET,SALARY,True
612200,SF: Teachers: Employers national insurance,612200,B0,True,,BUDGET,SALARY,True
612300,SF: Teachers: Employers pension contribution,612300,B0,True,,BUDGET,SALARY,True
615100,SF: Teaching Assistants: Wages and salaries,615100,B1,True,,BUDGET,SALARY,True
615150,SF: Teaching Assistants: Overtime,615150,B1,True,,BUDGET,SALARY,True
615200,SF: Teaching Assistants: Employers national insurance,615200,B1,True,,BUDGET,SALARY,True
615300,SF: Teaching Assistants: Employers pension contribution,615300,B1,True,,BUDGET,SALARY,True
620100,SF: Librarians: Wages and salaries,620100,B1,True,,BUDGET,SALARY,True
620150,SF: Librarians: Overtime,620150,B1,True,,BUDGET,SALARY,True
620200,SF: Librarians: Employers national insurance,620200,B1,True,,BUDGET,SALARY,True
620300,SF: Librarians: Employers pension contribution,620300,B1,True,,BUDGET,SALARY,True
622100,SF: Technicians: Wages and salaries,622100,B1,True,,BUDGET,SALARY,True
622150,SF: Technicians: Overtime,622150,B1,True,,BUDGET,SALARY,True
622200,SF: Technicians: Employers national insurance,622200,B1,True,,BUDGET,SALARY,True
622300,SF: Technicians: Employers pension contribution,622300,B1,True,,BUDGET,SALARY,True
623100,SF: Cover supervisors: Wages and salaries,623100,B1,True,,BUDGET,SALARY,True
623150,SF: Cover supervisors: Overtime,623150,B1,True,,BUDGET,SALARY,True
623200,SF: Cover supervisors: Employers national insurance,623200,B1,True,,BUDGET,SALARY,True
623300,SF: Cover supervisors: Employers pension contribution,623300,B1,True,,BUDGET,SALARY,True
625100,SF: Finance and Admin: Wages and salaries,625100,B3,True,,BUDGET,SALARY,True
625150,SF: Finance and Admin: Overtime,625150,B3,True,,BUDGET,SALARY,True
625200,SF: Finance and Admin: Employers national insurance,625200,B3,True,,BUDGET,SALARY,True
625300,SF: Finance and Admin: Employers pension contribution,625300,B3,True,,BUDGET,SALARY,True
627100,SF: Site Staff: Wages and salaries,627100,B2,True,,BUDGET,SALARY,True
627150,SF: Site Staff: Overtime,627150,B2,True,,BUDGET,SALARY,True
627200,SF: Site Staff: Employers national insurance,627200,B2,True,,BUDGET,SALARY,True
627300,SF: Site Staff: Employers pension contribution,627300,B2,True,,BUDGET,SALARY,True
