IsBalanceSheet,GroupingCode,CustomGrouping,FinanceCode,Title,AvailableToAllSchools,SchoolCodes,FinanceCodeTypeCode,LedgerCode,FinanceCodeEnabled,BalanceToScenario
False,850100,G0,6000,Course Fees,True,,BUDGET,COSTCTR,True,False
False,850150,G0,6010,Recruitment Fees,True,,BUDGET,COSTCTR,True,False
False,675770,G0,6014,Staff Absence Insurance,True,,BUDGET,COSTCTR,True,False
False,850300,G0,6015,Staff Travel,True,,BUDGET,COSTCTR,True,False
False,850250,G0,6020,DBS Checks,True,,BUDGET,COSTCTR,True,False
False,850200,G0,6025,Hospitality,True,,BUDGET,COSTCTR,True,False
False,850150,B0,6030,Child Care Voucher Admin,True,,BUDGET,COSTCTR,True,False
False,850150,G1,6040,Redundancy Payment,True,,BUDGET,COSTCTR,True,False
False,830100,D0,6500,Trips Travel Costs,True,,BUDGET,TRIPS,True,False
False,830150,D0,6505,Trips Expenditure,True,,BUDGET,TRIPS,True,False
False,830200,D0,6510,Trips Food & Drink,True,,BUDGET,TRIPS,True,False
False,830300,D0,6515,Trips Insurance,True,,BUDGET,TRIPS,True,False
False,880550,D0,6600,Pupil Uniforms Expenditure,True,,BUDGET,COSTCTR,True,False
False,855470,E0,6700,Conversion Expenses,True,,BUDGET,COSTCTR,True,False
False,893100,H0,6950,Gain / (Loss) on LGPS,True,,BUDGET,COSTCTR,True,False
False,880500,H0,6955,VAT Adjustment,True,,BUDGET,COSTCTR,True,False
False,550250,W0,8100,DfE Devolved Formula Capital Grant,True,,BUDGET,CAPITAL,True,False
False,550450,W0,8105,Other DfE Capital Grant,True,,BUDGET,CAPITAL,True,False
False,560300,W0,8110,Other Capital Grant,True,,BUDGET,CAPITAL,True,False
False,W1,W1,8200,Land & Buildings Capital Acquisition,True,,BUDGET,CAPITAL,True,False
False,W1,W1,8210,IT &  Equipment Capital Acquisition,True,,BUDGET,CAPITAL,True,False
False,W1,W1,8220,Furniture and Equipment Cap Acquisition,True,,BUDGET,CAPITAL,True,False
False,W1,W1,8230,Motor Vehicle Capital Acquisition,True,,BUDGET,CAPITAL,True,False
False,Z05,ZZZ,A_FTE_BREAKFAST,Annual FTE - Breakfast,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_CATER,Annual FTE - Catering,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_CLEANING,Annual FTE - Cleaning,True,,STATISTICS,COSTCTR,True,False
False,Z04,ZZZ,A_FTE_COVER,Annual FTE - Cover,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_FINADM,Annual FTE - Finance Admin,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_BREAKFAST,Annual FTE Leave Adjustment - Breakfast,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_CATER,Annual FTE Leave Adjustment - Catering,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_CLEANING,Annual FTE Leave Adjustment - Cleaning,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_COVER,Annual FTE Leave Adjustment - Cover,True,,STATISTICS,COSTCTR,True,False
False,Z16,ZZZ,A_FTE_LEAVE_ADJ_COVER,Annual FTE Leave Adjustment - Cover,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_FINADM,Annual FTE Leave Adjustment - Finance Admin,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_MID,Annual FTE Leave Adjustment - Mid Day Supervisors,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_NURSERY,Annual FTE Leave Adjustment - Nursery,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_PASTORAL,Annual FTE Leave Adjustment - Pastoral,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_PREM,Annual FTE Leave Adjustment - Premises,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_SWIM,Annual FTE Leave Adjustment - Swim,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_TEACH,Annual FTE Leave Adjustment - Teaching,True,,STATISTICS,COSTCTR,True,False
False,Z16,ZZZ,A_FTE_LEAVE_ADJ_TEACH,Annual FTE Leave Adjustment - Teaching,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_TEACHAST,Annual FTE Leave Adjustment - Teaching Assistants,True,,STATISTICS,COSTCTR,True,False
False,Z17,ZZZ,A_FTE_LEAVE_ADJ_TECH,Annual FTE Leave Adjustment - Technicians,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_MID,Annual FTE - Mid Day Supervisors,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_NURSERY,Annual FTE - Nursery,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_PASTORAL,Annual FTE - Pastoral,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_PREM,Annual FTE - Premises,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_SWIM,Annual FTE - Swim,True,,STATISTICS,COSTCTR,True,False
False,Z04,ZZZ,A_FTE_TEACH,Annual FTE - Teaching,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_TEACHAST,Annual FTE - Teaching Assistants,True,,STATISTICS,COSTCTR,True,False
False,Z05,ZZZ,A_FTE_TECH,Annual FTE - Technicians,True,,STATISTICS,COSTCTR,True,False
False,ZZZ,ZZZ,AWPU-PRI-IMP,AWPU-PRI-IMP,True,,STATISTICS,DEFAULT,True,False
False,Z01,ZZZ,B_FWDRES,Brought Forward Reserves,True,,BUDGET,COSTCTR,True,False
False,Z01,ZZZ,BFWD_RES,Brought Forward Reserves,True,,STATISTICS,COSTCTR,True,False
False,ZZZ,ZZZ,BOB,testfincode,True,,BUDGET,COSTCTR,True,False
False,Z06,ZZZ,CAP_BFWD_RES,Fixed Capital Fund B/F Balances,True,,CAPITALFUND,DEFAULT,True,False
False,ZZZ,ZZZ,CENCHG,Central Charge,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,FSM6_PRI_RATE,FSM6 Primary Rate,True,,STATISTICS,DEFAULT,True,False
